time,vehicle,x,y,distance,speed,latency,energy
214,def.2,983.7593333333335,190.99,574.0298534807325,13.9,39.02549352219681,7.805098704439363
214,def.3,1039.3593333333333,190.99,621.6073282658256,13.9,42.218612635290306,8.443722527058062
214,def.4,1094.9593333333335,190.99,670.4206056054994,13.9,45.49467151714761,9.098934303429521
214,def.5,1150.5593333333331,190.99,720.2184573357662,13.9,48.836809217165516,9.767361843433104
214,def.6,1206.159333333333,190.99,770.8100830644195,13.9,52.23222033989392,10.446444067978785
214,def.7,1261.759333333333,190.99,822.04894137785,13.9,55.67106989113088,11.134213978226176
214,def.8,1317.3593333333329,190.99,873.8211830157875,13.9,59.145716980925336,11.829143396185067
214,def.9,1372.9593333333328,190.99,926.0373522454571,13.9,62.650157868822625,12.530031573764525
215,def.0,858.6593333333337,190.99,473.41704393389915,13.9,32.272955968718065,6.454591193743614
215,def.1,914.2593333333336,190.99,516.8152236087652,13.9,35.185585477098336,7.037117095419667
215,def.2,969.8593333333336,190.99,562.3655156750319,13.9,38.242652058726975,7.648530411745395
215,def.3,1025.4593333333335,190.99,609.5856716550277,13.9,41.41179004396159,8.282358008792318
215,def.4,1081.0593333333334,190.99,658.116349100809,13.9,44.668882489987176,8.933776497997435
215,def.5,1136.6593333333333,190.99,707.6879869126255,13.9,47.99583804782721,9.599167609565443
215,def.6,1192.2593333333332,190.99,758.0964085702497,13.9,51.37895359531877,10.275790719063755
215,def.7,1247.859333333333,190.99,809.1852461295729,13.9,54.80773463956865,10.96154692791373
215,def.8,1303.459333333333,190.99,860.8333639099055,13.9,58.27405126912117,11.654810253824236
215,def.9,1359.059333333333,190.99,912.9458463058531,13.9,61.77153330911766,12.354306661823532
216,def.0,844.7593333333338,190.99,462.9753535777523,13.9,31.5721713810572,6.31443427621144
216,def.1,900.3593333333336,190.99,505.7418075333611,13.9,34.442403190158466,6.888480638031694
216,def.2,955.9593333333336,190.99,550.8049507346299,13.9,37.46677521708925,7.49335504341785
216,def.3,1011.5593333333335,190.99,597.6454899189356,13.9,40.610435565029235,8.122087113005847
216,def.4,1067.1593333333335,190.99,645.876837707555,13.9,43.84743877231912,8.769487754463825
216,def.5,1122.7593333333334,190.99,695.2095851998719,13.9,47.15836142281019,9.431672284562039
216,def.6,1178.3593333333333,190.99,745.425090281005,13.9,50.52852954906074,10.10570590981215
216,def.7,1233.9593333333332,190.99,796.3563794477387,13.9,53.946736875687165,10.789347375137433
216,def.8,1289.5593333333331,190.99,847.8744724036557,13.9,57.404327006956755,11.480865401391352
216,def.9,1345.159333333333,190.99,899.8785911557425,13.9,60.89453631917735,12.17890726383547
217,def.0,830.8593333333338,190.99,452.7196467503681,13.9,30.883868909420677,6.176773781884136
217,def.1,886.4593333333337,190.99,494.8110714408528,13.9,33.70879674099683,6.741759348199366
217,def.2,942.0593333333336,190.99,539.3548315229144,13.9,36.69831084046405,7.339662168092811
217,def.3,997.6593333333336,190.99,585.7917651809199,13.9,39.814883569189256,7.962976713837851
217,def.4,1053.2593333333334,190.99,633.7058229339892,13.9,43.03059214322075,8.60611842864415
217,def.5,1108.8593333333333,190.99,682.7861069816163,13.9,46.32457093836351,9.264914187672701
217,def.6,1164.4593333333332,190.99,732.7983254305223,13.9,49.681095666478,9.936219133295602
217,def.7,1220.0593333333331,190.99,783.5640520215588,13.9,53.088191410842875,10.617638282168576
