d_timestamp,container_id,d_cpu(proc),d_memory_usage(max_128),d_net_io,io,pid,t_timestamp,t_ram(max_3964MB),t_swap(max_1982MB),t_cpu(arr[4]),t_cpu_temp,thermal,pom_5v_in,pom_5v_cpu
2025-03-16 02:35:54,e028f7bc7379,6.25,33.67,3.57 / 1.35,0B / 0B,12,2025-03-16 02:35:55,2087,37,"[26%@204,16%@204,19%@204,15%@204]",27,26.5,1102,157
2025-03-16 02:35:56,e028f7bc7379,25.24,35.87,4.09MB / 17.6,0B / 0B,16,2025-03-16 02:35:58,2090,37,"[15%@1132,8%@1132,11%@1132,14%@1132]",27,26.75,1375,275
2025-03-16 02:35:59,e028f7bc7379,24.73,38.25,4.09MB / 17.6,0B / 0B,16,2025-03-16 02:36:00,2091,37,"[20%@204,14%@204,18%@204,13%@204]",27,26.75,1723,313
2025-03-16 02:36:02,e028f7bc7379,25.42,44.56,4.09MB / 17.6,0B / 0B,16,2025-03-16 02:36:03,2096,37,"[17%@403,12%@403,15%@403,8%@403]",27,26.75,1414,274
2025-03-16 02:36:04,e028f7bc7379,25.74,46.94,5.16MB / 26,0B / 0B,25,2025-03-16 02:36:05,2100,37,"[26%@204,23%@204,22%@204,18%@204]",27,26.25,1605,391
2025-03-16 02:36:07,e028f7bc7379,25.93,47.25,5.68MB / 31.3,0B / 0B,25,2025-03-16 02:36:08,2096,37,"[18%@1132,11%@1132,16%@1132,11%@1132]",27,26.75,1414,353
2025-03-16 02:36:09,e028f7bc7379,25.62,47.38,5.7MB / 57.8,0B / 0B,25,2025-03-16 02:36:10,2098,37,"[18%@710,13%@710,18%@710,17%@710]",27,26.75,2143,545
2025-03-16 02:36:12,e028f7bc7379,24.48,47.45,5.75MB / 133,0B / 0B,25,2025-03-16 02:36:13,2099,37,"[18%@204,12%@204,16%@204,13%@204]",26.5,26.75,1141,196
2025-03-16 02:36:15,e028f7bc7379,25.66,47.55,7.38MB / 1.6MB,0B / 0B,25,2025-03-16 02:36:16,2098,37,"[20%@307,16%@307,19%@307,14%@403]",27,26.5,1608,313
2025-03-16 02:36:17,e028f7bc7379,26.62,47.61,7.45MB / 2.56MB,0B / 0B,25,2025-03-16 02:36:18,2099,37,"[22%@204,21%@204,17%@204,13%@204]",27,26.75,1414,274
2025-03-16 02:36:20,e028f7bc7379,24.80,49.65,9.08MB / 3.64MB,0B / 0B,25,2025-03-16 02:36:21,2103,37,"[24%@204,20%@204,11%@204,17%@204]",26.5,26.5,1220,236
2025-03-16 02:36:22,e028f7bc7379,25.67,50.11,11.1MB / 5.15MB,0B / 0B,25,2025-03-16 02:36:23,2100,37,"[18%@518,16%@518,15%@518,17%@518]",27,26.75,1451,235
2025-03-16 02:36:25,e028f7bc7379,25.36,50.74,12.9MB / 6.66MB,0B / 0B,25,2025-03-16 02:36:26,2101,37,"[20%@403,11%@403,20%@403,10%@403]",27,26.75,1375,275
2025-03-16 02:36:28,e028f7bc7379,25.62,51.96,15.1MB / 8.66MB,0B / 0B,25,2025-03-16 02:36:28,2104,37,"[22%@307,17%@307,19%@307,19%@307]",27,26.75,1375,314
2025-03-16 02:37:47,cd32d74a79a2,24.92,20.18,1.21 / 0B,39.4 / 0B,10,2025-03-16 02:37:48,2006,37,"[30%@204,19%@204,15%@204,14%@204]",27,27.25,1569,313
2025-03-16 02:37:49,cd32d74a79a2,25.04,24.79,2.16 / 0B,41.3 / 0B,10,2025-03-16 02:37:51,2020,37,"[20%@403,16%@403,12%@403,13%@403]",27.5,27.75,1684,352
2025-03-16 02:37:52,cd32d74a79a2,24.76,27.05,2.36 / 0B,41.9 / 0B,10,2025-03-16 02:37:53,2018,37,"[22%@403,11%@403,18%@403,9%@403]",27,26.75,1530,313
2025-03-16 02:37:54,cd32d74a79a2,25.51,30.11,2.36 / 0B,51.5 / 0B,10,2025-03-16 02:37:56,2022,37,"[16%@1479,10%@1479,10%@1479,21%@1479]",27,27.5,1952,624
2025-03-16 02:37:57,cd32d74a79a2,24.78,33.43,2.36 / 0B,54.3 / 0B,10,2025-03-16 02:37:58,2023,37,"[18%@1479,17%@1479,11%@1479,13%@1479]",27.5,27,1876,586
2025-03-16 02:38:00,cd32d74a79a2,25.12,35.95,2.36 / 0B,65.5 / 0B,10,2025-03-16 02:38:01,2029,37,"[17%@825,14%@825,10%@825,17%@825]",27.5,26.75,2447,854
2025-03-16 02:38:02,cd32d74a79a2,24.62,40.16,2.36 / 0B,66.1 / 0B,10,2025-03-16 02:38:04,2029,37,"[16%@403,17%@403,9%@403,12%@403]",27.5,27,1605,391
2025-03-16 02:38:05,cd32d74a79a2,26.02,40.95,2.36 / 0B,66.6 / 0B,10,2025-03-16 02:38:06,2031,37,"[19%@403,15%@518,15%@518,15%@518]",27,27.25,1684,430
2025-03-16 02:38:07,cd32d74a79a2,26.12,42.7,2.36 / 0B,72.3 / 0B,10,2025-03-16 02:38:09,2032,37,"[23%@1479,27%@1479,15%@1479,19%@1479]",28.5,26.75,2826,1084
2025-03-16 02:38:10,cd32d74a79a2,5.00,43.98,4.2 / 1.77,72.6 / 0B,15,2025-03-16 02:38:11,2033,37,"[12%@204,14%@204,9%@204,10%@204]",27.5,26.75,1257,275
2025-03-16 02:38:13,cd32d74a79a2,24.71,44.86,4.08MB / 17.6,72.6 / 0B,16,2025-03-16 02:38:14,2034,37,"[15%@710,8%@710,15%@710,16%@710]",27,26.75,1684,351
2025-03-16 02:38:15,cd32d74a79a2,24.38,47.64,4.08MB / 17.6,72.6 / 0B,16,2025-03-16 02:38:16,2036,37,"[21%@403,10%@403,15%@403,13%@403]",27,27,1876,391
2025-03-16 02:38:18,cd32d74a79a2,25.53,53.31,4.08MB / 17.6,72.6 / 0B,16,2025-03-16 02:38:19,2041,37,"[17%@1479,16%@1479,27%@1479,19%@1479]",28,27,3197,1543
2025-03-16 02:38:21,cd32d74a79a2,24.94,61.05,4.35MB / 20.8,80 / 0B,25,2025-03-16 02:38:21,2044,37,"[18%@204,16%@204,14%@204,16%@204]",27,27.75,1336,275
2025-03-16 02:38:23,cd32d74a79a2,24.75,61.96,4.62MB / 116,80.2 / 0B,25,2025-03-16 02:38:24,2042,37,"[26%@403,14%@403,8%@403,14%@403]",27.5,27,1490,353
2025-03-16 02:38:26,cd32d74a79a2,24.83,62.16,5.72MB / 1.18MB,80.2 / 0B,25,2025-03-16 02:38:27,2043,37,"[19%@825,19%@825,12%@825,17%@825]",27.5,27.25,1451,391
2025-03-16 02:38:28,cd32d74a79a2,25.99,62.52,8.38MB / 2.48MB,80.2 / 0B,25,2025-03-16 02:38:29,2056,37,"[19%@1479,24%@1479,22%@1479,19%@1479]",28.5,26.75,3494,1651
2025-03-16 02:38:31,cd32d74a79a2,25.07,64.9,8.95MB / 3.94MB,80.2 / 0B,25,2025-03-16 02:38:32,2046,37,"[25%@307,16%@307,11%@307,13%@307]",27.5,27,1296,392
2025-03-16 02:39:58,20b09d247631,25.89,17.37,1.95 / 0B,40.7 / 0B,10,2025-03-16 02:40:00,1996,37,"[20%@102,8%@102,13%@102,13%@102]",27,27,1220,196
2025-03-16 02:40:01,20b09d247631,25.64,23.34,2.16 / 0B,41.3 / 0B,10,2025-03-16 02:40:03,2004,37,"[19%@204,16%@204,11%@204,15%@204]",27.5,27,1257,430
2025-03-16 02:40:04,20b09d247631,24.97,25.02,2.36 / 0B,46.4 / 0B,10,2025-03-16 02:40:05,2003,37,"[15%@825,20%@1036,14%@1036,10%@1036]",27.5,27.25,1837,585
2025-03-16 02:40:06,20b09d247631,24.56,29.12,2.36 / 0B,51.8 / 0B,10,2025-03-16 02:40:08,2007,37,"[16%@1479,21%@1479,10%@1479,8%@1479]",28,27,2030,623
2025-03-16 02:40:09,20b09d247631,25.47,30.11,2.36 / 0B,54.3 / 0B,10,2025-03-16 02:40:10,2008,37,"[18%@921,14%@921,11%@921,13%@921]",27.5,26.75,2030,545
2025-03-16 02:40:12,20b09d247631,25.42,30.76,2.36 / 0B,54.8 / 0B,10,2025-03-16 02:40:13,2010,37,"[22%@1224,13%@1224,8%@1224,8%@1224]",27.5,26.75,1759,508
2025-03-16 02:40:14,20b09d247631,26.66,35.87,2.36 / 0B,65.5 / 0B,10,2025-03-16 02:40:15,2012,37,"[19%@518,15%@204,13%@825,10%@825]",27.5,27,1530,430
2025-03-16 02:40:17,20b09d247631,25.61,37.45,2.36 / 0B,66.7 / 0B,10,2025-03-16 02:40:18,2014,37,"[18%@614,12%@614,13%@614,13%@614]",27.5,27,1605,430
2025-03-16 02:40:19,20b09d247631,21.78,39.09,2.36 / 0B,72.5 / 0B,10,2025-03-16 02:40:21,2017,37,"[16%@307,12%@307,9%@307,11%@307]",27.5,26.75,1296,353
2025-03-16 02:40:22,20b09d247631,21.20,40.45,4.08MB / 22.9,72.6 / 0B,16,2025-03-16 02:40:23,2017,37,"[25%@1224,14%@1224,15%@1224,13%@1224]",28,26.75,2030,584
2025-03-16 02:40:25,20b09d247631,23.53,44.46,4.08MB / 22.9,73.4 / 0B,16,2025-03-16 02:40:26,2021,37,"[18%@710,23%@710,8%@710,7%@710]",27.5,26.75,1798,429
