2025-03-16 02:38:55 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:55 TegraStats: RAM 1984/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@614,3%@614,9%@614,9%@614] EMC_FREQ 1%@1600 GR3D_FREQ 99%@76 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 2256/1728 POM_5V_GPU 194/67 POM_5V_CPU 583/470 | 2025-03-16 02:38:55 PerfStat: 68.110430079      <not counted>      cache-misses
2025-03-16 02:38:56 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:56 TegraStats: RAM 1975/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,12%@204,8%@204,4%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1296/1722 POM_5V_GPU 39/66 POM_5V_CPU 353/469 | 2025-03-16 02:38:56 PerfStat: 69.112717063      <not counted>      cache-misses
2025-03-16 02:38:58 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:58 TegraStats: RAM 1983/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@403,10%@403,12%@403,7%@403] EMC_FREQ 1%@1600 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@27.5C AO@32.5C thermal@26.75C POM_5V_IN 1605/1721 POM_5V_GPU 0/67 POM_5V_CPU 391/466 | 2025-03-16 02:38:58 PerfStat: 71.115387168      <not counted>      cache-misses
2025-03-16 02:38:59 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:38:59 TegraStats: RAM 1973/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [12%@204,8%@204,10%@204,5%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1141/1712 POM_5V_GPU 39/66 POM_5V_CPU 236/463 | 2025-03-16 02:39:00 PerfStat: 73.119214466      <not counted>      cache-misses
2025-03-16 02:39:01 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:01 TegraStats: RAM 1987/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [29%@710,15%@710,15%@710,18%@710] EMC_FREQ 2%@1600 GR3D_FREQ 0%@230 APE 25 PLL@26C CPU@28C PMIC@50C GPU@26.5C AO@32.5C thermal@27.5C POM_5V_IN 2182/1745 POM_5V_GPU 77/66 POM_5V_CPU 662/483 | 2025-03-16 02:39:01 PerfStat: 74.120265195      <not counted>      cache-misses
2025-03-16 02:39:03 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:03 TegraStats: RAM 1978/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,11%@102,11%@204,10%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1141/1730 POM_5V_GPU 78/66 POM_5V_CPU 196/476 | 2025-03-16 02:39:03 PerfStat: 76.124455359      <not counted>      cache-misses
2025-03-16 02:39:04 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:04 TegraStats: RAM 1975/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [9%@102,6%@102,2%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1064/1721 POM_5V_GPU 39/65 POM_5V_CPU 236/472 | 2025-03-16 02:39:04 PerfStat: 77.127055991      <not counted>      cache-misses
2025-03-16 02:39:06 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:06 TegraStats: RAM 1988/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@102,5%@102,6%@102,11%@102] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1102/1705 POM_5V_GPU 39/65 POM_5V_CPU 196/466 | 2025-03-16 02:39:06 PerfStat: 79.131017040      <not counted>      cache-misses
2025-03-16 02:39:07 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:07 TegraStats: RAM 1975/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@102,10%@204,8%@204,9%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1102/1698 POM_5V_GPU 39/64 POM_5V_CPU 236/463 | 2025-03-16 02:39:08 PerfStat: 81.134723036      <not counted>      cache-misses
2025-03-16 02:39:09 | DockerStats: cd32d74a79a2	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:39:09 TegraStats: RAM 1984/3964MB (lfb 96x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [8%@307,11%@307,4%@204,8%@307] EMC_FREQ 8%@204 GR3D_FREQ 0%@76 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.75C POM_5V_IN 1141/1685 POM_5V_GPU 39/65 POM_5V_CPU 236/457 | 2025-03-16 02:39:09 PerfStat: 82.136451944      <not counted>      cache-misses
