2025-03-16 02:54:03 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:04 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,5%@204,9%@204,9%@204] EMC_FREQ 11%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1296/1575 POM_5V_GPU 39/63 POM_5V_CPU 235/374 | 2025-03-16 02:54:03 PerfStat: 78.125449363      <not counted>      cache-misses
2025-03-16 02:54:05 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:05 TegraStats: RAM 1971/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [13%@204,8%@204,9%@204,7%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1220/1570 POM_5V_GPU 39/63 POM_5V_CPU 196/372 | 2025-03-16 02:54:04 PerfStat: 79.127961244      <not counted>      cache-misses
2025-03-16 02:54:06 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:07 TegraStats: RAM 1983/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@204,10%@204,5%@204,4%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1220/1561 POM_5V_GPU 78/63 POM_5V_CPU 196/368 | 2025-03-16 02:54:06 PerfStat: 81.133625739      <not counted>      cache-misses
2025-03-16 02:54:08 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:08 TegraStats: RAM 1971/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,8%@204,6%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1141/1556 POM_5V_GPU 39/63 POM_5V_CPU 196/365 | 2025-03-16 02:54:07 PerfStat: 82.136149755      <not counted>      cache-misses
2025-03-16 02:54:09 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:10 TegraStats: RAM 1982/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,9%@204,8%@204,4%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1259/1548 POM_5V_GPU 39/62 POM_5V_CPU 236/362 | 2025-03-16 02:54:09 PerfStat: 84.139895022      <not counted>      cache-misses
2025-03-16 02:54:11 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:11 TegraStats: RAM 1972/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@204,7%@204,7%@204,8%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@26.75C POM_5V_IN 1102/1542 POM_5V_GPU 39/62 POM_5V_CPU 157/359 | 2025-03-16 02:54:11 PerfStat: 86.144897586      <not counted>      cache-misses
2025-03-16 02:54:13 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:13 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@614,7%@614,10%@614,8%@614] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@27C AO@32.5C thermal@27.25C POM_5V_IN 1912/1562 POM_5V_GPU 39/62 POM_5V_CPU 507/373 | 2025-03-16 02:54:12 PerfStat: 87.147671240      <not counted>      cache-misses
2025-03-16 02:54:14 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:15 TegraStats: RAM 1980/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,7%@102,4%@204,8%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27.25C POM_5V_IN 1141/1557 POM_5V_GPU 39/63 POM_5V_CPU 157/369 | 2025-03-16 02:54:15 PerfStat: 89.153477662      <not counted>      cache-misses
2025-03-16 02:54:16 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:16 TegraStats: RAM 1972/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [20%@204,10%@204,9%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@27C AO@32.5C thermal@27C POM_5V_IN 1375/1555 POM_5V_GPU 117/63 POM_5V_CPU 196/367 | 2025-03-16 02:54:16 PerfStat: 90.155950220      <not counted>      cache-misses
2025-03-16 02:54:17 | DockerStats: 517431f3aa6d	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:54:18 TegraStats: RAM 1982/3964MB (lfb 94x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,11%@102,10%@204,5%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27.25C POM_5V_IN 1102/1545 POM_5V_GPU 39/63 POM_5V_CPU 196/363 | 2025-03-16 02:54:17 PerfStat: 92.160457991      <not counted>      cache-misses
