2025-03-16 02:29:02 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:03 TegraStats: RAM 2021/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [14%@204,7%@204,9%@204,5%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.5C POM_5V_IN 1336/1510 POM_5V_GPU 39/55 POM_5V_CPU 235/338 | 2025-03-16 02:29:02 PerfStat: 77.124977543      <not counted>      cache-misses
2025-03-16 02:29:04 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:04 TegraStats: RAM 2011/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,6%@204,7%@204,9%@204] EMC_FREQ 9%@204 GR3D_FREQ 82%@153 APE 25 PLL@25.5C CPU@27.5C PMIC@50C GPU@26.5C AO@32.5C thermal@27C POM_5V_IN 1530/1510 POM_5V_GPU 156/57 POM_5V_CPU 235/337 | 2025-03-16 02:29:03 PerfStat: 78.127629165      <not counted>      cache-misses
2025-03-16 02:29:05 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:06 TegraStats: RAM 2022/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@204,7%@204,4%@204,11%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@27C POM_5V_IN 1336/1505 POM_5V_GPU 78/57 POM_5V_CPU 196/334 | 2025-03-16 02:29:05 PerfStat: 80.132972199      <not counted>      cache-misses
2025-03-16 02:29:07 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:07 TegraStats: RAM 2013/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [17%@102,6%@102,4%@102,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1141/1501 POM_5V_GPU 39/57 POM_5V_CPU 157/332 | 2025-03-16 02:29:06 PerfStat: 81.135667154      <not counted>      cache-misses
2025-03-16 02:29:08 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:09 TegraStats: RAM 2023/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [11%@204,8%@204,9%@204,8%@204] EMC_FREQ 9%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@27.25C POM_5V_IN 1180/1492 POM_5V_GPU 39/56 POM_5V_CPU 196/328 | 2025-03-16 02:29:08 PerfStat: 83.140752740      <not counted>      cache-misses
2025-03-16 02:29:10 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:10 TegraStats: RAM 2011/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@204,7%@204,8%@204,7%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27.5C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 1141/1488 POM_5V_GPU 39/56 POM_5V_CPU 157/326 | 2025-03-16 02:29:10 PerfStat: 85.145241969      <not counted>      cache-misses
2025-03-16 02:29:12 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:12 TegraStats: RAM 2024/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [18%@825,11%@825,3%@825,8%@825] EMC_FREQ 1%@1600 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32C thermal@26.75C POM_5V_IN 2069/1491 POM_5V_GPU 39/55 POM_5V_CPU 663/328 | 2025-03-16 02:29:11 PerfStat: 86.148470260      <not counted>      cache-misses
2025-03-16 02:29:13 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:14 TegraStats: RAM 2022/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [10%@102,6%@204,10%@204,11%@204] EMC_FREQ 8%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@26.5C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1102/1483 POM_5V_GPU 39/55 POM_5V_CPU 196/326 | 2025-03-16 02:29:13 PerfStat: 88.153810534      <not counted>      cache-misses
2025-03-16 02:29:15 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:15 TegraStats: RAM 2012/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [23%@204,15%@204,22%@204,13%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@25.5C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1259/1480 POM_5V_GPU 39/55 POM_5V_CPU 236/325 | 2025-03-16 02:29:14 PerfStat: 89.155135639      <not counted>      cache-misses
2025-03-16 02:29:16 | DockerStats: 4855b4006e87	0.00%	0B / 0B	0B / 0B	0B / 0B	0 | 2025-03-16 02:29:17 TegraStats: RAM 2024/3964MB (lfb 93x4MB) SWAP 37/1982MB (cached 0MB) IRAM 0/252kB(lfb 252kB) CPU [15%@102,10%@204,11%@204,4%@204] EMC_FREQ 10%@204 GR3D_FREQ 0%@153 APE 25 PLL@26C CPU@27C PMIC@50C GPU@26.5C AO@32.5C thermal@26.75C POM_5V_IN 1259/1473 POM_5V_GPU 78/55 POM_5V_CPU 196/321 | 2025-03-16 02:29:16 PerfStat: 91.157071834      <not counted>      cache-misses
